,KOI,TransitNumber,TransitTimeLinear,TTV,eTTV,TransitTime,KOI_System,Planet_Number
570945,KOI-1576.02,2,78.7146762,-0.0014539000000000002,0.0071325,78.7132223,1576,2
570946,KOI-1576.02,3,91.7989172,0.0058130000000000005,0.006829099999999999,91.80473020000001,1576,2
570947,KOI-1576.02,4,104.8831581,0.0054126,0.0041629,104.8885707,1576,2
570948,KOI-1576.02,5,117.9673991,0.0027324000000000003,0.005629,117.9701315,1576,2
570949,KOI-1576.02,7,144.135881,0.0018004000000000002,0.0055491,144.13768140000002,1576,2
570950,KOI-1576.02,8,157.220122,-0.0015499,0.007520499999999999,157.21857210000002,1576,2
570951,KOI-1576.02,9,170.3043629,-0.0079132,0.0084062,170.2964497,1576,2
570952,KOI-1576.02,10,183.38860390000002,-0.008222799999999999,0.005220600000000001,183.38038110000002,1576,2
570953,KOI-1576.02,11,196.47284480000002,-0.0035759999999999998,0.006217100000000001,196.4692688,1576,2
570954,KOI-1576.02,12,209.5570858,-0.0009609,0.006408199999999999,209.55612490000001,1576,2
570955,KOI-1576.02,13,222.6413268,0.0229882,0.0095484,222.664315,1576,2
570956,KOI-1576.02,14,235.72556769999997,-0.0173421,0.0068949,235.70822559999996,1576,2
570957,KOI-1576.02,15,248.8098087,0.0034228,0.010357700000000001,248.8132315,1576,2
570958,KOI-1576.02,16,261.89404959999996,0.0188982,0.0068218,261.9129478,1576,2
570959,KOI-1576.02,17,274.97829060000004,-0.0182226,0.007261,274.96006800000004,1576,2
570960,KOI-1576.02,18,288.0625315,0.0107741,0.005823600000000001,288.07330559999997,1576,2
570961,KOI-1576.02,19,301.1467725,-0.006475700000000001,0.0088153,301.1402968,1576,2
570962,KOI-1576.02,20,314.23101349999996,0.0036243,0.006636100000000001,314.2346378,1576,2
570963,KOI-1576.02,21,327.31525439999996,-0.0060442000000000004,0.0048828000000000005,327.30921019999994,1576,2
570964,KOI-1576.02,22,340.3994954,-0.0045006,0.006120399999999999,340.3949948,1576,2
570965,KOI-1576.02,23,353.4837363,0.0070074,0.0078949,353.4907437,1576,2
570966,KOI-1576.02,24,366.5679773,0.0029763000000000003,0.0068408,366.5709536,1576,2
570967,KOI-1576.02,25,379.6522183,0.007314,0.0064661,379.6595323,1576,2
570968,KOI-1576.02,26,392.73645919999996,-0.0007338,0.0184625,392.7357254,1576,2
570969,KOI-1576.02,27,405.8207002,-0.0068661,0.007586,405.81383409999995,1576,2
570970,KOI-1576.02,28,418.90494110000003,0.0120102,0.0070561999999999995,418.91695130000005,1576,2
570971,KOI-1576.02,29,431.98918210000005,-0.0022523000000000005,0.0093532,431.98692980000004,1576,2
570972,KOI-1576.02,30,445.07342310000007,-0.0021165,0.010363500000000001,445.07130660000007,1576,2
570973,KOI-1576.02,31,458.15766399999995,-0.031652,0.0066343,458.12601199999995,1576,2
